Operation,Certificate,ProcessingTime(ms),Status
Issue,CERT: 91727,10.564,Issued
Issue,CERT: 60430,10.428,Issued
Issue,CERT: 88015,10.282,Issued
Issue,CERT: 58671,10.594,Issued
Issue,CERT: 55487,10.619,Issued
Issue,CERT: 72370,10.457,Issued
Issue,CERT: 46417,10.563,Issued
Issue,CERT: 71440,10.563,Issued
Issue,CERT: 2777,10.470,Issued
Issue,CERT: 79139,10.338,Issued
Issue,CERT: 17060,10.532,Issued
Issue,CERT: 88624,10.418,Issued
Issue,CERT: 86986,10.436,Issued
Issue,CERT: 54386,10.270,Issued
Issue,CERT: 56728,10.175,Issued
Issue,CERT: 1741,10.379,Issued
Issue,CERT: 47406,10.389,Issued
Issue,CERT: 62568,10.361,Issued
Issue,CERT: 78937,10.290,Issued
Issue,CERT: 87053,10.314,Issued
Issue,CERT: 3017,10.395,Issued
Issue,CERT: 85470,10.456,Issued
Issue,CERT: 99180,10.146,Issued
Issue,CERT: 18033,10.204,Issued
Issue,CERT: 4762,10.291,Issued
Issue,CERT: 37158,10.462,Issued
Issue,CERT: 37999,10.389,Issued
Issue,CERT: 23938,10.363,Issued
Issue,CERT: 49182,10.375,Issued
Issue,CERT: 99143,10.319,Issued
Issue,CERT: 60793,10.453,Issued
Issue,CERT: 20080,10.392,Issued
Issue,CERT: 36349,10.391,Issued
Issue,CERT: 49430,10.354,Issued
Issue,CERT: 8760,10.134,Issued
Issue,CERT: 11139,10.343,Issued
Issue,CERT: 55022,10.322,Issued
Issue,CERT: 74739,10.345,Issued
Issue,CERT: 42400,10.236,Issued
Issue,CERT: 13816,10.444,Issued
Issue,CERT: 70255,10.454,Issued
Issue,CERT: 3401,10.179,Issued
Issue,CERT: 14847,10.467,Issued
Issue,CERT: 54651,10.387,Issued
Issue,CERT: 18422,10.262,Issued
Issue,CERT: 61170,10.376,Issued
Issue,CERT: 11682,10.379,Issued
Issue,CERT: 27896,10.344,Issued
Issue,CERT: 87031,10.383,Issued
Issue,CERT: 76704,10.328,Issued
Issue,CERT: 81293,10.347,Issued
Issue,CERT: 32732,10.341,Issued
Issue,CERT: 95613,10.333,Issued
Issue,CERT: 52271,10.410,Issued
Issue,CERT: 36871,10.314,Issued
Issue,CERT: 61069,10.443,Issued
Issue,CERT: 97684,10.401,Issued
Issue,CERT: 30574,10.410,Issued
Issue,CERT: 11609,10.503,Issued
Issue,CERT: 31114,10.261,Issued
Issue,CERT: 88480,10.453,Issued
Issue,CERT: 3123,10.473,Issued
Issue,CERT: 50375,10.259,Issued
Issue,CERT: 25539,10.579,Issued
Issue,CERT: 30747,10.626,Issued
Issue,CERT: 52728,10.343,Issued
Issue,CERT: 61677,10.584,Issued
Issue,CERT: 31298,10.465,Issued
Issue,CERT: 71586,10.509,Issued
Issue,CERT: 67544,10.240,Issued
Issue,CERT: 75335,10.507,Issued
Issue,CERT: 18420,10.349,Issued
Issue,CERT: 40423,10.387,Issued
Issue,CERT: 91486,10.359,Issued
Issue,CERT: 64171,10.437,Issued
Issue,CERT: 190,10.468,Issued
Issue,CERT: 61902,10.455,Issued
Issue,CERT: 9778,10.528,Issued
Issue,CERT: 4493,10.373,Issued
Issue,CERT: 19103,10.213,Issued
Issue,CERT: 31789,10.521,Issued
Issue,CERT: 68329,10.380,Issued
Issue,CERT: 39530,10.280,Issued
Issue,CERT: 56481,10.392,Issued
Issue,CERT: 84163,10.520,Issued
Issue,CERT: 17852,10.525,Issued
Issue,CERT: 90444,10.373,Issued
Issue,CERT: 9497,10.520,Issued
Issue,CERT: 68335,10.459,Issued
Issue,CERT: 22943,10.345,Issued
Issue,CERT: 13382,10.280,Issued
Issue,CERT: 79265,10.457,Issued
Issue,CERT: 47691,10.362,Issued
Issue,CERT: 59110,10.591,Issued
Issue,CERT: 47730,10.446,Issued
Issue,CERT: 47983,10.311,Issued
Issue,CERT: 31628,10.405,Issued
Issue,CERT: 35359,10.433,Issued
Issue,CERT: 53067,10.482,Issued
Issue,CERT: 45687,10.090,Issued
Issue,CERT: 34132,10.444,Issued
Issue,CERT: 42397,10.490,Issued
Issue,CERT: 89797,10.317,Issued
Issue,CERT: 37130,10.271,Issued
Issue,CERT: 4244,10.275,Issued
Issue,CERT: 87495,10.449,Issued
Issue,CERT: 7561,10.486,Issued
Issue,CERT: 60954,10.438,Issued
Issue,CERT: 59494,10.559,Issued
Issue,CERT: 66571,10.344,Issued
Issue,CERT: 77695,10.498,Issued
Issue,CERT: 37954,10.452,Issued
Issue,CERT: 2629,10.495,Issued
Issue,CERT: 21115,10.518,Issued
Issue,CERT: 49759,10.313,Issued
Issue,CERT: 84451,10.535,Issued
Issue,CERT: 41735,10.450,Issued
Issue,CERT: 28816,10.560,Issued
Issue,CERT: 75936,10.442,Issued
Issue,CERT: 34281,10.290,Issued
Issue,CERT: 4903,10.454,Issued
Issue,CERT: 14134,10.339,Issued
Issue,CERT: 63145,10.148,Issued
Issue,CERT: 63490,10.468,Issued
Issue,CERT: 51135,10.485,Issued
Issue,CERT: 62288,10.564,Issued
Issue,CERT: 37663,10.467,Issued
Issue,CERT: 35907,10.537,Issued
Issue,CERT: 46727,10.503,Issued
Issue,CERT: 49621,10.434,Issued
Issue,CERT: 43346,10.429,Issued
Issue,CERT: 72676,10.431,Issued
